Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.19.61-52.201.160.68-10092-443-6,52.201.160.68,443,192.168.19.61,10092,6,16/08/2024 06:08:55 下午,0,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,0.0,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,128,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-52.201.160.68-10089-443-6,52.201.160.68,443,192.168.19.61,10089,6,16/08/2024 06:08:55 下午,242,0,2,0.0,46.0,0,0,0,0,46.0,0.0,23.0,32.526911934581186,190082.64462809917,8264.462809917355,242.0,0.0,242.0,242.0,0,0,0,0,0,242.0,242.0,0.0,242.0,242.0,0,1,0,0,0,40,0.0,8264.462809917355,0.0,46.0,30.666666666666664,26.558112382722786,705.3333333333334,0,0,0,1,1,0,0,0,0.0,46.0,0.0,23.0,0,0,0,0,0,0,0,0,2,46,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-52.201.160.68-10089-443-6,52.201.160.68,443,192.168.19.61,10089,6,16/08/2024 06:08:55 下午,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,280,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.5.238.134-10166-443-6,192.168.19.61,10166,3.5.238.134,443,6,16/08/2024 06:08:51 下午,6791842,10,19,2256.0,6592.0,1452.0,0.0,225.59999999999997,458.30222924761483,1432.0,0.0,346.94736842105266,561.9117639001311,1302.7393746792106,4.269828420625804,242565.78571428574,1158784.693347377,6145634.0,0.0,445495.0,49499.44444444444,95172.89764438076,236428.0,6.0,6791842.0,377324.55555555556,1441826.0006969196,6145676.0,0.0,0,0,0,0,200,404,1.4723546278020012,2.7974737928238023,0.0,1452.0,294.9333333333333,517.2952157423119,267594.340229885,0,1,0,0,0,0,0,0,1.0,305.1034482758621,225.6,346.94736842105266,0,0,0,0,0,0,10,2256,19,6592,-1,224,4,0,645370.0,0.0,645370.0,645370.0,6145634.0,0.0,6145634.0,6145634.0,No Label
192.168.19.61-58.49.230.57-10162-443-6,192.168.19.61,10162,58.49.230.57,443,6,16/08/2024 06:08:49 下午,15184887,4,6,2186.0,254.0,1452.0,0.0,546.5,670.2663649624677,254.0,0.0,42.33333333333333,103.69506577782121,160.68608215523764,0.6585495170296625,1687209.6666666667,5007372.951660532,1.5039889E7,1.0,20567.0,6855.666666666667,11566.404814519217,20210.0,11.0,1.5184887E7,3036977.4,6709959.519189538,1.5039889E7,1.0,0,0,0,0,80,144,0.263419806811865,0.39512971021779747,0.0,1452.0,221.81818181818178,454.49968496838767,206569.96363636362,0,1,0,0,0,0,0,0,1.0,244.0,546.5,42.333333333333336,0,0,0,0,0,0,4,2186,6,254,-1,511,3,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-111.170.31.241-10144-443-6,111.170.31.241,443,192.168.19.61,10144,6,16/08/2024 06:08:56 下午,10361947,1,4,24.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,2.316167029227229,0.4825347977556727,2590486.75,5180911.500051213,1.0361854E7,1.0,0,0,0,0,0,1.0361947E7,3453982.3333333335,5982392.349425298,1.0361854E7,36.0,0,0,0,0,20,80,0.09650695955113454,0.3860278382045382,0.0,24.0,4.0,9.797958971132712,96.0,1,0,0,0,1,0,0,0,4.0,4.8,24.0,0.0,0,0,0,0,0,0,1,24,4,0,-1,513,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-58.49.230.57-10162-443-6,192.168.19.61,10162,58.49.230.57,443,6,16/08/2024 06:09:04 下午,2603477,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7682034448547078,2603477.0,0.0,2603477.0,2603477.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.3841017224273539,0.3841017224273539,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.5.238.134-10166-443-6,192.168.19.61,10166,3.5.238.134,443,6,16/08/2024 06:08:58 下午,8584217,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329857225184312,8584217.0,0.0,8584217.0,8584217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.1164928612592156,0.1164928612592156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-52.201.160.68-10092-443-6,192.168.19.61,10092,52.201.160.68,443,6,16/08/2024 06:08:55 下午,21658292,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09234338515705671,2.1658292E7,0.0,2.1658292E7,2.1658292E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.04617169257852836,0.04617169257852836,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-8.139.73.64-10138-443-6,192.168.19.61,10138,8.139.73.64,443,6,16/08/2024 06:08:55 下午,30072594,2,3,0.0,226.0,0.0,0.0,0.0,0.0,98.0,31.0,75.33333333333333,38.39704849768187,7.515148177772759,0.16626434021621148,7518148.5,1.4952167795076106E7,2.9946353E7,206.0,2.9946559E7,2.9946559E7,0.0,2.9946559E7,2.9946559E7,3.0072388E7,1.5036194E7,2.11614007928067E7,2.9999564E7,72824.0,0,1,0,0,40,60,0.0665057360864846,0.0997586041297269,0.0,98.0,53.83333333333333,48.97924730604449,2398.9666666666667,0,0,0,1,1,0,0,0,1.0,64.6,0.0,75.33333333333333,0,0,0,0,0,0,2,0,3,226,-1,18653,0,0,126035.0,0.0,126035.0,126035.0,2.9946353E7,0.0,2.9946353E7,2.9946353E7,No Label
