Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
129.150.38.255-192.168.180.61-10086-3229-6,192.168.180.61,3229,129.150.38.255,10086,6,20/08/2024 03:25:43 下午,1236896,1,5,0.0,25.0,0.0,0.0,0.0,0.0,24.0,0.0,5.0,10.63014581273465,20.211885235298684,4.850852456471684,247379.2,494199.5882527625,1130073.0,1.0,0,0,0,0,0,1236896.0,309224.0,547856.4392113442,1130073.0,1.0,0,0,0,0,20,112,0.8084754094119473,4.042377047059737,0.0,24.0,3.714285714285715,8.957571949925674,80.23809523809524,0,0,0,0,1,0,0,0,5.0,4.333333333333333,0.0,5.0,0,0,0,0,0,0,1,0,5,25,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-3229-6,192.168.180.61,3229,129.150.38.255,10086,6,20/08/2024 03:25:45 下午,1290,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,18604.6511627907,2325.5813953488373,645.0,705.6925676241744,1144.0,146.0,146.0,146.0,0.0,146.0,146.0,0,0,0,0,0,0,0,0,0,40,20,1550.387596899225,775.1937984496125,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,511,1,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-3245-6,129.150.38.255,10086,192.168.180.61,3245,6,20/08/2024 03:25:47 下午,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-3245-6,192.168.180.61,3245,129.150.38.255,10086,6,20/08/2024 03:25:47 下午,413,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,58111.38014527845,7263.922518159806,206.5,149.19953083036154,312.0,101.0,101.0,101.0,0.0,101.0,101.0,0,0,0,0,0,0,0,0,0,40,20,4842.6150121065375,2421.3075060532688,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-204.79.197.239-3351-443-6,192.168.180.61,3351,204.79.197.239,443,6,20/08/2024 03:25:49 下午,98884,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.45143804862263,32961.333333333336,56821.477562039276,98573.0,45.0,266.0,266.0,0.0,266.0,266.0,98573.0,98573.0,0.0,98573.0,98573.0,0,0,0,0,40,64,20.225719024311314,20.225719024311314,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-3269-6,129.150.38.255,10086,192.168.180.61,3269,6,20/08/2024 03:25:56 下午,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-3269-6,192.168.180.61,3269,129.150.38.255,10086,6,20/08/2024 03:25:56 下午,315,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,76190.47619047618,9523.809523809523,157.5,96.87362902255701,226.0,89.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,0,0,0,0,40,20,6349.206349206349,3174.6031746031745,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-3267-6,192.168.180.61,3267,129.150.38.255,10086,6,20/08/2024 03:25:57 下午,1513090,1,5,0.0,25.0,0.0,0.0,0.0,0.0,24.0,0.0,5.0,10.63014581273465,16.522480486950545,3.965395316868131,302618.0,628012.6814479943,1424144.0,0.0,0,0,0,0,0,1513090.0,378272.5,698362.5008191185,1424144.0,0.0,0,0,0,0,20,112,0.6608992194780218,3.3044960973901087,0.0,24.0,3.714285714285715,8.957571949925674,80.23809523809524,0,0,0,0,1,0,0,0,5.0,4.333333333333333,0.0,5.0,0,0,0,0,0,0,1,0,5,25,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-3267-6,192.168.180.61,3267,129.150.38.255,10086,6,20/08/2024 03:25:58 下午,503,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,47713.71769383698,5964.214711729623,251.5,205.76807332528534,397.0,106.0,106.0,106.0,0.0,106.0,106.0,0,0,0,0,0,0,0,0,0,40,20,3976.1431411530816,1988.0715705765408,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,510,1,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-119.29.29.29-49326-53-17,192.168.180.61,49326,119.29.29.29,53,17,20/08/2024 03:25:49 下午,35092,0,2,0.0,199.0,0,0,0,0,163.0,36.0,99.5,89.80256121069154,5670.8081614043085,56.993046848284514,35092.0,0.0,35092.0,35092.0,0,0,0,0,0,35092.0,35092.0,0.0,35092.0,35092.0,0,0,0,0,0,16,0.0,56.993046848284514,36.0,163.0,78.33333333333334,73.32348418708247,5376.333333333334,0,0,0,0,0,0,0,0,0.0,117.5,0.0,99.5,0,0,0,0,0,0,0,0,2,199,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
