Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.41.4-219.76.130.110-12130-28222-6,219.76.130.110,28222,192.168.41.4,12130,6,20/08/2024 04:43:03 下午,514,0,3,0.0,48.0,0,0,0,0,24.0,0.0,16.0,13.856406460551018,93385.2140077821,5836.575875486381,257.0,161.22034611053283,371.0,143.0,0,0,0,0,0,514.0,257.0,161.22034611053283,371.0,143.0,0,1,0,0,0,60,0.0,5836.575875486381,0.0,24.0,18.0,12.0,144.0,0,0,0,1,1,0,0,0,0.0,24.0,0.0,16.0,0,0,0,0,0,0,0,0,3,48,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-12130-28222-6,219.76.130.110,28222,192.168.41.4,12130,6,20/08/2024 04:43:03 下午,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1002,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-23.212.62.72-12614-443-6,192.168.41.4,12614,23.212.62.72,443,6,20/08/2024 04:43:04 下午,436663,9,14,600.0,4709.0,294.0,0.0,66.66666666666667,95.80057411101461,1400.0,0.0,336.35714285714295,530.9025127290113,12158.11735823736,52.67219801082299,19848.318181818184,50706.23316937744,149684.0,0.0,288962.0,36120.25,66148.23600876617,149779.0,25.0,436247.0,33557.46153846154,63717.20096726286,150549.0,0.0,0,0,0,0,180,304,20.610860091191604,32.061337919631384,0.0,1400.0,221.20833333333331,426.6696083741434,182046.9547101449,0,1,0,0,0,0,0,0,1.0,230.82608695652175,66.66666666666667,336.35714285714283,0,0,0,0,0,0,9,600,14,4709,-1,501,5,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-23.212.62.72-12614-443-6,23.212.62.72,443,192.168.41.4,12614,6,20/08/2024 04:43:05 下午,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
182.92.29.16-192.168.41.4-443-12200-6,182.92.29.16,443,192.168.41.4,12200,6,20/08/2024 04:43:14 下午,106,2,2,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,0.0,23.0,32.526911934581186,726415.0943396227,37735.84905660377,35.333333333333336,34.07834111768548,68.0,0.0,106.0,106.0,0.0,106.0,106.0,68.0,68.0,0.0,68.0,68.0,0,1,0,0,40,40,18867.924528301886,18867.924528301886,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,1.0,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,64222,1,0,0,0,0,0,0,0,0,0,No Label
182.92.29.16-192.168.41.4-443-12200-6,192.168.41.4,12200,182.92.29.16,443,6,20/08/2024 04:43:14 下午,330,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6060.606060606061,330.0,0.0,330.0,330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3030.3030303030305,3030.3030303030305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64222,0,0,0,0,0,0,0,0,0,0,No Label
152.69.172.80-192.168.41.4-2052-57202-17,152.69.172.80,2052,192.168.41.4,57202,17,20/08/2024 04:43:05 下午,10364014,1,3,30.0,138.0,30.0,30.0,30.0,0.0,92.0,21.0,46.0,39.88734135035826,16.20993564848523,0.38595084877345787,3454671.333333333,5643723.6739834575,9968762.0,34580.0,0,0,0,0,0,1.0003342E7,5001671.0,7024527.457741339,9968762.0,34580.0,0,0,0,0,8,24,0.09648771219336447,0.2894631365800934,21.0,92.0,37.8,30.52376123612554,931.7000000000002,0,0,0,0,0,0,0,0,3.0,47.25,30.0,46.0,0,0,0,0,0,0,1,30,3,138,-1,-1,1,0,34580.0,0.0,34580.0,34580.0,9968762.0,0.0,9968762.0,9968762.0,No Label
192.168.41.4-223.5.5.5-10041-443-6,192.168.41.4,10041,223.5.5.5,443,6,20/08/2024 04:43:13 下午,61831,1,3,0.0,78.0,0.0,0.0,0.0,0.0,39.0,0.0,26.0,22.516660498395403,1261.5031294981482,64.69246817939222,20610.333333333336,27991.379500362847,52920.0,3693.0,0,0,0,0,0,8911.0,4455.5,1078.337841309485,5218.0,3693.0,0,1,0,0,20,60,16.173117044848055,48.519351134544166,0.0,39.0,23.4,21.361179742701477,456.29999999999995,0,0,0,1,1,0,0,0,3.0,29.25,0.0,26.0,0,0,0,0,0,0,1,0,3,78,-1,24,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-104.16.248.249-12371-443-6,192.168.41.4,12371,104.16.248.249,443,6,20/08/2024 04:43:04 下午,841982,2,4,1.0,78.0,1.0,0.0,0.5,0.7071067811865476,39.0,0.0,19.5,22.516660498395403,93.82623381497467,7.126043074555038,168396.4,178621.437035984,404823.0,1.0,125763.0,125763.0,0.0,125763.0,125763.0,841982.0,280660.6666666667,251540.20454061282,485760.0,1.0,0,1,0,0,40,92,2.375347691518346,4.750695383036692,0.0,39.0,16.857142857142858,20.71576349408482,429.14285714285717,0,0,0,1,1,0,0,0,2.0,19.666666666666668,0.5,19.5,0,0,0,0,0,0,2,1,4,78,-1,9,1,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-12131-28222-6,192.168.41.4,12131,219.76.130.110,28222,6,20/08/2024 04:43:08 下午,806461,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,1.239985566568005,2.47997113313601,806461.0,0.0,806461.0,806461.0,0,0,0,0,0,806461.0,806461.0,0.0,806461.0,806461.0,0,0,0,0,0,52,0.0,2.47997113313601,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,1002,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-52.98.77.114-10836-443-6,192.168.41.4,10836,52.98.77.114,443,6,20/08/2024 04:43:01 下午,15169445,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.13184397978963633,0.26368795957927266,5056481.666666666,8617480.30655576,1.5007086E7,72701.0,0,0,0,0,0,1.5169445E7,7584722.5,1.059962186676112E7,1.5079787E7,89658.0,0,0,0,0,20,84,0.06592198989481816,0.1977659696844545,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,16384,1,0,89658.0,0.0,89658.0,89658.0,1.5007086E7,0.0,1.5007086E7,1.5007086E7,No Label
192.168.41.4-20.187.186.89-12125-443-6,192.168.41.4,12125,20.187.186.89,443,6,20/08/2024 04:43:01 下午,15196131,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.13161244793164786,0.2632248958632957,5065377.0,8613634.15992675,1.5011545E7,92126.0,0,0,0,0,0,1.5196131E7,7598065.5,1.0615001439251928E7,1.5104005E7,92126.0,0,0,0,0,20,84,0.06580622396582393,0.1974186718974718,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,251,1,0,92126.0,0.0,92126.0,92126.0,1.5011545E7,0.0,1.5011545E7,1.5011545E7,No Label
