Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.180.61-36.155.208.90-7582-14000-6,192.168.180.61,7582,36.155.208.90,14000,6,21/08/2024 10:49:23 上午,27414,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,72.95542423579192,27414.0,0.0,27414.0,27414.0,0,0,0,0,0,27414.0,27414.0,0.0,27414.0,27414.0,0,0,0,0,0,40,0.0,72.95542423579192,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,12287,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-120.92.109.129-7577-443-6,120.92.109.129,443,192.168.180.61,7577,6,21/08/2024 10:49:25 上午,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,136,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-120.92.109.129-7577-443-6,192.168.180.61,7577,120.92.109.129,443,6,21/08/2024 10:49:25 上午,409,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4889.975550122249,409.0,0.0,409.0,409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2444.9877750611245,2444.9877750611245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-120.46.147.18-7576-443-6,120.46.147.18,443,192.168.180.61,7576,6,21/08/2024 10:49:55 上午,1,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,65,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-120.46.147.18-7576-443-6,192.168.180.61,7576,120.46.147.18,443,6,21/08/2024 10:49:55 上午,175,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11428.57142857143,175.0,0.0,175.0,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5714.285714285715,5714.285714285715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.157-192.168.180.61-53-52416-17,192.168.180.61,52416,192.168.180.157,53,17,21/08/2024 10:49:33 上午,25965,0,2,0.0,243.0,0,0,0,0,205.0,38.0,121.5,118.08683245815344,9358.752166377817,77.02676680146351,25965.0,0.0,25965.0,25965.0,0,0,0,0,0,25965.0,25965.0,0.0,25965.0,25965.0,0,0,0,0,0,16,0.0,77.02676680146351,38.0,205.0,93.66666666666666,96.41749495466749,9296.333333333332,0,0,0,0,0,0,0,0,0.0,140.5,0.0,121.5,0,0,0,0,0,0,0,0,2,243,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-108.177.125.84-7612-443-6,192.168.180.61,7612,108.177.125.84,443,6,21/08/2024 10:49:42 上午,15030251,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33266244189800953,3757562.75,3095562.253454922,8005849.0,1005980.0,1.4024271E7,4674757.0,3053896.97667161,8005849.0,2007135.0,0,0,0,0,0,0,0,0,0,128,32,0.2661299535184076,0.0665324883796019,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,64240,0,0,7024402.0,0.0,7024402.0,7024402.0,8005849.0,0.0,8005849.0,8005849.0,No Label
192.168.180.61-36.155.197.218-5779-8080-6,192.168.180.61,5779,36.155.197.218,8080,6,21/08/2024 10:49:26 上午,79404,1,2,0.0,127.0,0.0,0.0,0.0,0.0,74.0,53.0,63.5,14.849242404917497,1599.4156465669234,37.7814719661478,39702.0,4770.142345884449,43075.0,36329.0,0,0,0,0,0,36329.0,36329.0,0.0,36329.0,36329.0,0,1,0,0,20,40,12.593823988715933,25.187647977431865,0.0,74.0,45.0,31.591137997862628,998.0,0,0,0,1,1,0,0,0,2.0,60.0,0.0,63.5,0,0,0,0,0,0,1,0,2,127,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
134.221.109.72-183.174.4.216-0-0-0,134.221.109.72,0,183.174.4.216,0,0,21/08/2024 10:49:19 上午,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-36.155.208.90-7437-14000-6,192.168.180.61,7437,36.155.208.90,14000,6,21/08/2024 10:49:17 上午,9612021,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2080727871901237,9612021.0,0.0,9612021.0,9612021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.10403639359506185,0.10403639359506185,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32138,0,0,0,0,0,0,9612021.0,0.0,9612021.0,9612021.0,No Label
