Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.180.61-104.91.72.32-5683-443-6,192.168.180.61,5683,104.91.72.32,443,6,20/08/2024 03:39:10 下午,6706877,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.1491006917228391,0.4473020751685173,3353438.5,4635385.471059823,6631151.0,75726.0,0,0,0,0,0,75726.0,75726.0,0.0,75726.0,75726.0,0,0,0,0,20,52,0.1491006917228391,0.2982013834456782,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-104.91.72.32-5670-443-6,192.168.180.61,5670,104.91.72.32,443,6,20/08/2024 03:39:09 下午,7283954,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.137288071835709,0.41186421550712704,3641977.0,5051288.002084221,7213777.0,70177.0,0,0,0,0,0,70177.0,70177.0,0.0,70177.0,70177.0,0,0,0,0,20,52,0.137288071835709,0.274576143671418,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-104.91.74.169-5669-443-6,192.168.180.61,5669,104.91.74.169,443,6,20/08/2024 03:39:09 下午,7283990,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.13728739331053447,0.4118621799316034,3641995.0,5051316.286355468,7213815.0,70175.0,0,0,0,0,0,70175.0,70175.0,0.0,70175.0,70175.0,0,0,0,0,20,52,0.13728739331053447,0.27457478662106893,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-104.91.72.32-5670-443-6,104.91.72.32,443,192.168.180.61,5670,6,20/08/2024 03:39:17 下午,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-104.91.74.169-5669-443-6,104.91.74.169,443,192.168.180.61,5669,6,20/08/2024 03:39:17 下午,1,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-104.91.72.32-5683-443-6,104.91.72.32,443,192.168.180.61,5683,6,20/08/2024 03:39:17 下午,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
152.69.172.80-192.168.180.61-2052-62342-17,192.168.180.61,62342,152.69.172.80,2052,17,20/08/2024 03:39:13 下午,241681,1,3,30.0,72.0,30.0,30.0,30.0,0.0,26.0,21.0,24.0,2.6457513110645907,422.0439339459866,16.55074250768575,80560.33333333333,70839.30417736564,160390.0,25198.0,0,0,0,0,0,241681.0,120840.5,55931.439285074724,160390.0,81291.0,0,0,0,0,8,24,4.137685626921438,12.413056880764312,21.0,30.0,25.4,3.209361307176242,10.299999999999997,0,0,0,0,0,0,0,0,3.0,31.75,30.0,24.0,0,0,0,0,0,0,1,30,3,72,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-107.172.230.251-62400-2056-17,107.172.230.251,2056,192.168.180.61,62400,17,20/08/2024 03:39:07 下午,10350068,1,2,30.0,55.0,30.0,30.0,30.0,0.0,30.0,25.0,27.5,3.5355339059327378,8.212506429909446,0.28985316811445105,5175034.0,6837705.603511166,1.0010022E7,340046.0,0,0,0,0,0,1.0010022E7,1.0010022E7,0.0,1.0010022E7,1.0010022E7,0,0,0,0,8,16,0.09661772270481701,0.19323544540963403,25.0,30.0,28.75,2.5,6.250000000000001,0,0,0,0,0,0,0,0,2.0,38.333333333333336,30.0,27.5,0,0,0,0,0,0,1,30,2,55,-1,-1,1,0,0,0,0,0,1.0010022E7,0.0,1.0010022E7,1.0010022E7,No Label
192.168.180.61-103.173.154.84-62407-2052-17,192.168.180.61,62407,103.173.154.84,2052,17,20/08/2024 03:39:14 下午,349163,0,2,0.0,51.0,0,0,0,0,26.0,25.0,25.5,0.7071067811865476,146.06358634792346,5.72798377834994,349163.0,0.0,349163.0,349163.0,0,0,0,0,0,349163.0,349163.0,0.0,349163.0,349163.0,0,0,0,0,0,16,0.0,5.72798377834994,25.0,26.0,25.333333333333332,0.5773502691896257,0.3333333333333333,0,0,0,0,0,0,0,0,0.0,38.0,0.0,25.5,0,0,0,0,0,0,0,0,2,51,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
129.150.38.255-192.168.180.61-10086-5997-6,192.168.180.61,5997,129.150.38.255,10086,6,20/08/2024 03:39:17 下午,296830,1,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,3.368931711754203,13.475726847016812,98943.33333333333,170505.1991064593,295825.0,23.0,0,0,0,0,0,296830.0,148415.0,208501.74814135252,295848.0,982.0,0,0,0,0,20,72,3.368931711754203,10.106795135262608,0.0,1.0,0.4,0.5477225575051661,0.3,0,0,0,0,1,0,0,0,3.0,0.5,0.0,0.3333333333333333,0,0,0,0,0,0,1,0,3,1,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
