Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.19.61-3.168.147.80-9524-443-6,3.168.147.80,443,192.168.19.61,9524,6,16/08/2024 05:54:31 下午,159391,5,6,806.0,80.0,633.0,0.0,161.2,270.5581268415347,40.0,0.0,13.333333333333334,20.65591117977289,5558.657640644704,69.01267951139023,15939.099999999999,31722.28936130276,92855.0,0.0,158899.0,39724.75,47043.47384689329,92855.0,0.0,159391.0,31878.2,47238.032126666745,105681.0,41.0,0,0,0,0,100,120,31.369399777904647,37.64327973348558,0.0,633.0,73.83333333333333,181.0368286656981,32774.33333333333,0,0,0,0,1,0,0,0,1.0,80.54545454545455,161.2,13.333333333333334,0,0,0,0,0,0,5,806,6,80,-1,513,3,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9524-443-6,3.168.147.80,443,192.168.19.61,9524,6,16/08/2024 05:54:31 下午,786,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3816.793893129771,393.0,555.7859300126264,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,2544.529262086514,1272.264631043257,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,134,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9528-443-6,192.168.19.61,9528,3.168.147.80,443,6,16/08/2024 05:54:31 下午,1474340,12,10,1237.0,1058.0,741.0,0.0,103.08333333333334,222.2150712233261,633.0,0.0,105.8,200.596776311751,1556.6287287871182,14.921931169201134,70206.66666666667,128292.80782114535,441851.0,12.0,1310912.0,119173.81818181819,213550.8997133087,585747.0,41.0,1473657.0,163739.66666666666,155317.0235212483,441863.0,406.0,0,0,0,0,284,224,8.139235183200618,6.782695986000515,0.0,741.0,99.78260869565217,204.0249442240155,41626.17786561264,0,1,0,0,0,0,0,0,0.0,104.31818181818181,103.08333333333333,105.8,0,0,0,0,0,0,12,1237,10,1058,-1,134,6,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9528-443-6,192.168.19.61,9528,3.168.147.80,443,6,16/08/2024 05:54:33 下午,401239,0,3,0.0,80.0,0,0,0,0,80.0,0.0,26.666666666666664,46.188021535170066,199.38241297580743,7.476840486592779,200619.5,278217.5270188778,397349.0,3890.0,0,0,0,0,0,401239.0,200619.5,278217.5270188778,397349.0,3890.0,0,1,0,0,0,60,0.0,7.476840486592779,0.0,80.0,40.0,46.188021535170066,2133.3333333333335,1,0,0,1,1,0,0,0,0.0,53.333333333333336,0.0,26.666666666666668,0,0,0,0,0,0,0,0,3,80,-1,134,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9528-443-6,3.168.147.80,443,192.168.19.61,9528,6,16/08/2024 05:54:34 下午,3789,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.6875164951175,1263.0,2152.170764600244,3748.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,41.0,41.0,0,0,0,0,52,40,527.8437582475588,527.8437582475588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9529-443-6,192.168.19.61,9529,3.168.147.80,443,6,16/08/2024 05:54:33 下午,2086933,11,9,1248.0,755.0,741.0,0.0,113.45454545454547,231.64859750767482,384.0,0.0,83.88888888888889,139.6696499283617,959.7816508723566,9.58344134670351,109838.57894736841,244922.83511644954,1001090.0,0.0,1085843.0,108584.3,161900.78251204072,432863.0,42.0,2086469.0,260808.625,336182.9532565086,1013083.0,0.0,0,0,0,0,244,216,5.270892740686931,4.31254860601658,0.0,741.0,95.38095238095238,187.95623857442885,35327.54761904762,0,1,0,0,0,0,0,0,0.0,100.15,113.45454545454545,83.88888888888889,0,0,0,0,0,0,11,1248,9,755,-1,134,6,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9529-443-6,3.168.147.80,443,192.168.19.61,9529,6,16/08/2024 05:54:35 下午,138907,4,2,27.0,271.0,27.0,0.0,6.75,13.5,271.0,0.0,135.5,191.6259377015544,2145.3202502393688,43.19436745448393,27781.4,62048.45223532977,138777.0,0.0,138907.0,46302.33333333333,80197.99384232335,138907.0,0.0,130.0,130.0,0.0,130.0,130.0,0,1,0,0,80,40,28.796244969655955,14.398122484827978,0.0,271.0,81.28571428571428,129.9739900720067,16893.238095238095,0,0,0,1,1,0,0,0,0.0,94.83333333333333,6.75,135.5,0,0,0,0,0,0,4,27,2,271,-1,513,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-110.43.89.76-9539-80-6,192.168.19.61,9539,110.43.89.76,80,6,16/08/2024 05:54:35 下午,112830,3,4,207.0,76.0,207.0,0.0,69.0,119.51150572225254,76.0,0.0,19.0,38.0,2508.1981742444386,62.04023752548081,18805.0,28892.411979618453,60993.0,71.0,62016.0,31008.0,43676.571660330665,61892.0,124.0,112699.0,37566.33333333333,32293.38180391353,61188.0,768.0,0,0,0,0,60,104,26.588673225206062,35.45156430027475,0.0,207.0,35.375,74.27158176007063,5516.267857142857,0,1,0,0,0,0,0,0,1.0,40.42857142857143,69.0,19.0,0,0,0,0,0,0,3,207,4,76,-1,60,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-124.70.69.142-7345-443-6,192.168.19.61,7345,124.70.69.142,443,6,16/08/2024 05:54:35 下午,443,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,69977.42663656885,4514.6726862302485,443.0,0.0,443.0,443.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,2257.3363431151242,2257.3363431151242,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-1.193.223.101-7374-443-6,192.168.19.61,7374,1.193.223.101,443,6,16/08/2024 05:54:35 下午,359,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,66852.36768802228,5571.030640668524,359.0,0.0,359.0,359.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,2785.515320334262,2785.515320334262,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
