Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.41.4-103.136.150.102-50291-2052-17,192.168.41.4,50291,103.136.150.102,2052,17,20/08/2024 08:24:25 下午,10811834,1,3,25.0,93.0,25.0,25.0,25.0,0.0,34.0,25.0,31.0,5.196152422706632,10.913967047588782,0.3699649846640265,3603944.666666667,5551361.782915642,1.0014097E7,390040.0,0,0,0,0,0,1.0811834E7,5405917.0,7068550.511724452,1.0404137E7,407697.0,0,0,0,0,8,24,0.09249124616600662,0.2774737384980199,25.0,34.0,28.6,4.929503017546495,24.3,0,0,0,0,0,0,0,0,3.0,35.75,25.0,31.0,0,0,0,0,0,0,1,25,3,93,-1,-1,1,0,407697.0,0.0,407697.0,407697.0,1.0014097E7,0.0,1.0014097E7,1.0014097E7,No Label
192.168.41.4-223.6.6.6-4414-443-6,192.168.41.4,4414,223.6.6.6,443,6,20/08/2024 08:24:27 下午,62351,1,3,0.0,78.0,0.0,0.0,0.0,0.0,39.0,0.0,26.0,22.516660498395403,1250.982341903097,64.15294061041523,20783.666666666664,22220.99233457708,45758.0,3199.0,0,0,0,0,0,16593.0,8296.5,7208.953634196852,13394.0,3199.0,0,1,0,0,20,60,16.038235152603807,48.114705457811425,0.0,39.0,23.4,21.361179742701477,456.29999999999995,0,0,0,1,1,0,0,0,3.0,29.25,0.0,26.0,0,0,0,0,0,0,1,0,3,78,-1,22,0,0,0,0,0,0,0,0,0,0,No Label
152.69.181.64-192.168.41.4-2052-57635-17,192.168.41.4,57635,152.69.181.64,2052,17,20/08/2024 08:24:24 下午,10686431,1,3,25.0,81.0,25.0,25.0,25.0,0.0,28.0,25.0,27.0,1.7320508075688772,9.919120799076884,0.37430644524818435,3562143.666666667,5578607.918427798,1.0003765E7,339831.0,0,0,0,0,0,1.0686431E7,5343215.5,7075854.217667327,1.03466E7,339831.0,0,0,0,0,8,24,0.09357661131204609,0.28072983393613826,25.0,28.0,26.2,1.6431676725154984,2.7,0,0,0,0,0,0,0,0,3.0,32.75,25.0,27.0,0,0,0,0,0,0,1,25,3,81,-1,-1,1,0,339831.0,0.0,339831.0,339831.0,1.0003765E7,0.0,1.0003765E7,1.0003765E7,No Label
192.168.41.4-1.12.12.12-2910-443-6,192.168.41.4,2910,1.12.12.12,443,6,20/08/2024 08:24:27 下午,62206,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,1478.9570137928818,64.30247886056007,20735.333333333336,21102.402927944804,42192.0,6.0,0,0,0,0,0,20014.0,10007.0,14143.549837293323,20008.0,6.0,0,1,0,0,20,60,16.075619715140018,48.22685914542006,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.6-224.0.0.251-46279-5353-17,192.168.41.6,46279,224.0.0.251,5353,17,20/08/2024 08:24:21 下午,17812365,9,1,351.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,39.0,0.0,21.894902782421088,0.5614077636518228,1979151.6666666667,79230.64382863487,2049467.0,1773325.0,1.5762898E7,1970362.2499999998,79872.82973353866,2006401.0,1773325.0,0,0,0,0,0,0,0,0,0,72,8,0.5052669872866405,0.05614077636518228,39.0,39.0,39.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,42.9,39.0,39.0,0,0,0,0,0,0,9,351,1,39,-1,-1,9,0,0,0,0,0,0,0,0,0,No Label
150.138.153.103-192.168.41.4-443-3952-6,192.168.41.4,3952,150.138.153.103,443,6,20/08/2024 08:24:35 下午,24642,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,40.58112166220274,81.16224332440548,24642.0,0.0,24642.0,24642.0,0,0,0,0,0,24642.0,24642.0,0.0,24642.0,24642.0,0,0,0,0,0,52,0.0,81.16224332440548,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,9,0,0,0,0,0,0,0,0,0,0,No Label
144.24.140.70-192.168.41.4-2052-53716-17,192.168.41.4,53716,144.24.140.70,2052,17,20/08/2024 08:24:30 下午,388930,0,2,0.0,67.0,0,0,0,0,42.0,25.0,33.5,12.020815280171307,172.26750314966705,5.142313526855732,388930.0,0.0,388930.0,388930.0,0,0,0,0,0,388930.0,388930.0,0.0,388930.0,388930.0,0,0,0,0,0,16,0.0,5.142313526855732,25.0,42.0,30.666666666666668,9.814954576223638,96.33333333333334,0,0,0,0,0,0,0,0,0.0,46.0,0.0,33.5,0,0,0,0,0,0,0,0,2,67,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-20.189.173.25-3765-443-6,192.168.41.4,3765,20.189.173.25,443,6,20/08/2024 08:24:23 下午,15318029,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.13056510077112402,0.26113020154224803,5106009.666666666,8580903.163601274,1.5014383E7,150236.0,0,0,0,0,0,1.5318029E7,7659014.5,1.0619016391555505E7,1.5167793E7,150236.0,0,0,0,0,20,84,0.06528255038556201,0.19584765115668604,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,16384,1,0,150236.0,0.0,150236.0,150236.0,1.5014383E7,0.0,1.5014383E7,1.5014383E7,No Label
192.168.41.4-104.16.249.249-4576-443-6,192.168.41.4,4576,104.16.249.249,443,6,20/08/2024 08:24:27 下午,430384,1,2,0.0,78.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,181.23350310420463,6.970519350161716,215192.0,230299.02177820905,378038.0,52346.0,0,0,0,0,0,378038.0,378038.0,0.0,378038.0,378038.0,0,1,0,0,20,40,2.3235064500539053,4.647012900107811,0.0,39.0,29.25,19.5,380.25,0,0,0,1,1,0,0,0,2.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,2,78,-1,9,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.12-111.232.0.47-0-0-0,134.221.96.12,0,111.232.0.47,0,0,20/08/2024 08:24:21 下午,17816104,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5612899430762192,1979567.111111111,80170.82393465289,2053205.0,1772181.0,1.5762899E7,1970362.375,80461.64309592757,2007838.0,1772181.0,0,0,0,0,0,0,0,0,0,0,0,0.5051609487685973,0.056128994307621916,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
