Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.19.61-123.56.37.133-10447-80-6,192.168.19.61,10447,123.56.37.133,80,6,16/08/2024 06:18:23 下午,2870981,6,6,3391.0,1923.0,1444.0,0.0,565.1666666666667,689.9705549272858,1444.0,0.0,320.5,562.7694909996454,1850.935272647224,4.179755978879693,260998.27272727274,776145.6079200719,2598693.0,0.0,2870968.0,574193.6,1132829.685153863,2598693.0,7.0,2870695.0,574139.0,1184696.0956371892,2689185.0,0.0,0,0,0,0,120,132,2.0898779894398465,2.0898779894398465,0.0,1444.0,519.8461538461538,649.9142053832755,422388.47435897443,0,0,0,0,1,0,0,0,1.0,563.1666666666666,565.1666666666666,320.5,0,0,0,0,0,0,6,3391,6,1923,-1,358,4,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-34.193.10.234-10653-443-6,34.193.10.234,443,192.168.19.61,10653,6,16/08/2024 06:18:31 下午,187,0,2,0.0,46.0,0,0,0,0,46.0,0.0,23.0,32.526911934581186,245989.30481283425,10695.187165775402,187.0,0.0,187.0,187.0,0,0,0,0,0,187.0,187.0,0.0,187.0,187.0,0,1,0,0,0,40,0.0,10695.187165775402,0.0,46.0,30.666666666666664,26.558112382722786,705.3333333333334,0,0,0,1,1,0,0,0,0.0,46.0,0.0,23.0,0,0,0,0,0,0,0,0,2,46,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-34.193.10.234-10653-443-6,34.193.10.234,443,192.168.19.61,10653,6,16/08/2024 06:18:31 下午,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,210,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-54.92.197.120-10656-443-6,54.92.197.120,443,192.168.19.61,10656,6,16/08/2024 06:18:32 下午,1,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,7.7E7,3000000.0,0.5,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,2000000.0,1000000.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,142,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-54.92.197.120-10656-443-6,192.168.19.61,10656,54.92.197.120,443,6,16/08/2024 06:18:32 下午,89,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22471.91011235955,89.0,0.0,89.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11235.955056179775,11235.955056179775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-72.44.40.96-10659-443-6,72.44.40.96,443,192.168.19.61,10659,6,16/08/2024 06:18:34 下午,419,0,2,0.0,46.0,0,0,0,0,46.0,0.0,23.0,32.526911934581186,109785.20286396182,4773.26968973747,419.0,0.0,419.0,419.0,0,0,0,0,0,419.0,419.0,0.0,419.0,419.0,0,1,0,0,0,40,0.0,4773.26968973747,0.0,46.0,30.666666666666664,26.558112382722786,705.3333333333334,0,0,0,1,1,0,0,0,0.0,46.0,0.0,23.0,0,0,0,0,0,0,0,0,2,46,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-72.44.40.96-10659-443-6,72.44.40.96,443,192.168.19.61,10659,6,16/08/2024 06:18:34 下午,1430,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,21678.321678321678,2097.902097902098,715.0,964.4936495384508,1397.0,33.0,0,0,0,0,0,33.0,33.0,0.0,33.0,33.0,0,1,0,0,20,40,699.3006993006993,1398.6013986013986,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-54.159.72.89-10665-443-6,54.159.72.89,443,192.168.19.61,10665,6,16/08/2024 06:18:35 下午,1,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,7.7E7,3000000.0,0.5,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,2000000.0,1000000.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,190,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-54.159.72.89-10665-443-6,192.168.19.61,10665,54.159.72.89,443,6,16/08/2024 06:18:35 下午,371,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5390.8355795148245,371.0,0.0,371.0,371.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2695.4177897574123,2695.4177897574123,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-212.64.63.194-10487-443-6,212.64.63.194,443,192.168.19.61,10487,6,16/08/2024 06:18:37 下午,212,1,3,31.0,46.0,31.0,31.0,31.0,0.0,46.0,0.0,15.333333333333332,26.558112382722786,363207.5471698113,18867.924528301886,70.66666666666666,69.06036007242746,138.0,0.0,0,0,0,0,0,212.0,106.0,45.254833995939045,138.0,74.0,0,1,0,0,20,60,4716.981132075472,14150.943396226416,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,3.0,30.75,31.0,15.333333333333334,0,0,0,0,0,0,1,31,3,46,-1,514,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-212.64.63.194-10487-443-6,212.64.63.194,443,192.168.19.61,10487,6,16/08/2024 06:18:37 下午,31068,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.56237929702588,15534.0,21933.03813884433,31043.0,25.0,0,0,0,0,0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,20,40,32.18745976567529,64.37491953135059,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
