Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.19.61-3.168.147.80-9426-443-6,192.168.19.61,9426,3.168.147.80,443,6,16/08/2024 06:02:23 下午,11331142,0,4,0.0,40.0,0,0,0,0,39.0,0.0,10.0,19.339079605813716,3.5300943188250575,0.3530094318825058,3777047.333333333,6311121.159501324,1.1062856E7,0.0,0,0,0,0,0,1.1331142E7,3777047.333333333,6311121.159501324,1.1062856E7,0.0,0,0,0,0,0,92,0.0,0.3530094318825058,0.0,39.0,8.2,17.224981857755324,296.70000000000005,0,0,0,0,1,0,0,0,0.0,10.25,0.0,10.0,0,0,0,0,0,0,0,0,4,40,-1,147,0,0,268286.0,0.0,268286.0,268286.0,1.1062856E7,0.0,1.1062856E7,1.1062856E7,No Label
192.168.19.61-3.168.147.80-9426-443-6,192.168.19.61,9426,3.168.147.80,443,6,16/08/2024 06:02:35 下午,8107,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.70038238559272,8107.0,0.0,8107.0,8107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,123.35019119279636,123.35019119279636,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,517,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-4.241.155.66-9859-443-6,4.241.155.66,443,192.168.19.61,9859,6,16/08/2024 06:02:41 下午,256241,1,2,24.0,24.0,24.0,24.0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,187.32365234291157,11.707728271431973,128120.5,181150.15073827567,256213.0,28.0,0,0,0,0,0,28.0,28.0,0.0,28.0,28.0,0,1,0,0,20,52,3.902576090477324,7.805152180954648,0.0,24.0,18.0,12.0,144.0,1,0,0,1,1,0,0,0,2.0,24.0,24.0,12.0,0,0,0,0,0,0,1,24,2,24,-1,513,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-4.241.155.66-9859-443-6,192.168.19.61,9859,4.241.155.66,443,6,16/08/2024 06:02:41 下午,493550,0,2,0.0,63.0,0,0,0,0,63.0,0.0,31.5,44.54772721475249,127.64664167764158,4.052274338972748,493550.0,0.0,493550.0,493550.0,0,0,0,0,0,493550.0,493550.0,0.0,493550.0,493550.0,0,0,0,0,0,60,0.0,4.052274338972748,0.0,63.0,21.0,36.373066958946424,1323.0,0,0,0,0,1,0,0,0,0.0,31.5,0.0,31.5,0,0,0,0,0,0,0,0,2,63,-1,63,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-4.241.155.66-9859-443-6,192.168.19.61,9859,4.241.155.66,443,6,16/08/2024 06:02:42 下午,25510,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.40062720501764,25510.0,0.0,25510.0,25510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,39.20031360250882,39.20031360250882,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-113.219.195.228-9865-443-6,113.219.195.228,443,192.168.19.61,9865,6,16/08/2024 06:02:43 下午,699,1,1,24.0,39.0,24.0,24.0,24.0,0.0,39.0,39.0,39.0,0.0,90128.75536480687,2861.230329041488,699.0,0.0,699.0,699.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1430.615164520744,1430.615164520744,24.0,39.0,34.0,8.660254037844387,75.0,0,0,0,1,1,0,0,0,1.0,51.0,24.0,39.0,0,0,0,0,0,0,1,24,1,39,-1,76,1,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-113.219.195.228-9865-443-6,192.168.19.61,9865,113.219.195.228,443,6,16/08/2024 06:02:43 下午,12864,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.4726368159204,12864.0,0.0,12864.0,12864.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,77.7363184079602,77.7363184079602,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-59.110.73.142-9928-80-6,192.168.19.61,9928,59.110.73.142,80,6,16/08/2024 06:02:41 下午,2474498,0,3,0.0,1.0,0,0,0,0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.40412237148706526,1.2123671144611958,1237249.0,1687610.742464624,2430570.0,43928.0,0,0,0,0,0,2474498.0,1237249.0,1687610.742464624,2430570.0,43928.0,0,0,0,0,0,72,0.0,1.2123671144611958,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,3,1,-1,114,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-59.110.73.142-9928-80-6,192.168.19.61,9928,59.110.73.142,80,6,16/08/2024 06:02:43 下午,73,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27397.260273972603,73.0,0.0,73.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13698.630136986301,13698.630136986301,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-212.64.63.194-9882-443-6,212.64.63.194,443,192.168.19.61,9882,6,16/08/2024 06:02:47 下午,1662,2,2,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,0.0,23.0,32.526911934581186,46329.72322503008,2406.7388688327314,554.0,909.7889865237983,1604.0,0.0,1662.0,1662.0,0.0,1662.0,1662.0,58.0,58.0,0.0,58.0,58.0,0,1,0,0,40,40,1203.3694344163657,1203.3694344163657,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,1.0,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,510,1,0,0,0,0,0,0,0,0,0,No Label
