Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.19.61-3.168.147.80-9114-443-6,3.168.147.80,443,192.168.19.61,9114,6,16/08/2024 05:50:41 下午,708498,6,8,1025.0,482.0,654.0,0.0,170.83333333333331,254.775522110478,322.0,0.0,60.25,109.12345564281114,2127.034938701309,19.76011223743751,54499.846153846156,137215.761344343,483967.0,1.0,708040.0,141608.0,206391.11483540176,489929.0,875.0,708498.0,101214.0,188253.46381231165,484332.0,43.0,0,0,0,0,120,160,8.468619530330361,11.291492707107148,0.0,654.0,100.46666666666667,181.3933636629311,32903.55238095238,0,0,0,0,1,0,0,0,1.0,107.64285714285714,170.83333333333334,60.25,0,0,0,0,0,0,6,1025,8,482,-1,513,3,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9114-443-6,3.168.147.80,443,192.168.19.61,9114,6,16/08/2024 05:50:42 下午,167147,3,2,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,13.5,19.091883092036785,161.53445769292898,29.913788461653517,41786.75,58465.578952491356,124361.0,0.0,678.0,339.0,479.4183976444792,678.0,0.0,42108.0,42108.0,0.0,42108.0,42108.0,0,1,0,0,60,40,17.94827307699211,11.965515384661407,0.0,27.0,9.0,13.942740046346701,194.4,0,0,0,1,1,0,0,0,0.0,10.8,0.0,13.5,0,0,0,0,0,0,3,0,2,27,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9115-443-6,192.168.19.61,9115,3.168.147.80,443,6,16/08/2024 05:50:42 下午,1024817,10,10,1257.0,1052.0,741.0,0.0,125.70000000000002,241.87326800987697,654.0,0.0,105.2,208.09068535937243,2253.08518496473,19.51567938470966,53937.73684210527,117762.86588773887,464753.0,-204.0,844788.0,93865.33333333333,161777.7254329223,464811.0,-204.0,1024362.0,113818.0,155161.89840453744,468642.0,0.0,0,0,0,0,200,224,9.75783969235483,9.75783969235483,0.0,741.0,109.95238095238096,215.75854008369546,46551.74761904762,0,1,0,0,0,0,0,0,1.0,115.45,125.7,105.2,0,0,0,0,0,0,10,1257,10,1052,-1,134,6,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9115-443-6,3.168.147.80,443,192.168.19.61,9115,6,16/08/2024 05:50:43 下午,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,60,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,134,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9116-443-6,192.168.19.61,9116,3.168.147.80,443,6,16/08/2024 05:50:43 下午,687291,10,10,1233.0,1031.0,741.0,0.0,123.29999999999997,239.4410389033407,633.0,0.0,103.1,201.95238712792346,3294.092313154108,29.099755416555723,36173.21052631579,76443.36569686298,236367.0,0.0,480683.0,53409.22222222222,102418.41934044112,282820.0,39.0,686337.0,76259.66666666667,100624.41746787904,237408.0,0.0,0,0,0,0,200,224,14.549877708277862,14.549877708277862,0.0,741.0,107.80952380952381,211.8130352569499,44864.761904761894,0,1,0,0,0,0,0,0,1.0,113.2,123.3,103.1,0,0,0,0,0,0,10,1233,10,1031,-1,134,6,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9116-443-6,3.168.147.80,443,192.168.19.61,9116,6,16/08/2024 05:50:44 下午,1898,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.6111696522655,949.0,1340.674457129694,1897.0,1.0,1897.0,1897.0,0.0,1897.0,1897.0,0,0,0,0,0,0,0,0,0,40,20,1053.7407797681772,526.8703898840886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,134,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9116-443-6,3.168.147.80,443,192.168.19.61,9116,6,16/08/2024 05:50:44 下午,586027,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4128120376706197,586027.0,0.0,586027.0,586027.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.7064060188353098,1.7064060188353098,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,134,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9119-443-6,192.168.19.61,9119,3.168.147.80,443,6,16/08/2024 05:50:43 下午,1155987,10,10,1247.0,1043.0,741.0,0.0,124.69999999999999,240.8337600918941,645.0,0.0,104.3,205.45615915161397,1980.9911357134638,17.30123262631846,60841.42105263157,125013.15942345864,453991.0,0.0,951935.0,105770.55555555556,171804.08231770215,454051.0,31.0,1155267.0,128363.0,175759.0253720986,499614.0,0.0,0,0,0,0,200,224,8.65061631315923,8.65061631315923,0.0,741.0,109.04761904761905,214.0659889357663,45824.24761904762,0,1,0,0,0,0,0,0,1.0,114.5,124.7,104.3,0,0,0,0,0,0,10,1247,10,1043,-1,134,6,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9119-443-6,3.168.147.80,443,192.168.19.61,9119,6,16/08/2024 05:50:45 下午,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,134,0,0,0,0,0,0,0,0,0,0,No Label
192.168.19.61-3.168.147.80-9120-443-6,192.168.19.61,9120,3.168.147.80,443,6,16/08/2024 05:50:45 下午,1134356,9,9,1223.0,1025.0,741.0,0.0,135.88888888888889,248.81843000692515,654.0,0.0,113.88888888888889,218.78096606220365,1981.7411817806758,15.868034373688685,66726.82352941176,131519.93711137262,477792.0,0.0,930998.0,116374.75,178309.07585646253,478134.0,29.0,1133940.0,141742.5,171910.95683355545,491779.0,0.0,0,0,0,0,180,204,7.9340171868443425,7.9340171868443425,0.0,741.0,118.3157894736842,223.00474649447338,49731.11695906433,0,1,0,0,0,0,0,0,1.0,124.88888888888889,135.88888888888889,113.88888888888889,0,0,0,0,0,0,9,1223,9,1025,-1,134,6,0,0,0,0,0,0,0,0,0,No Label
