Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.41.4-104.16.249.249-10327-443-6,192.168.41.4,10327,104.16.249.249,443,6,20/08/2024 04:34:10 下午,48,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,500000.0,41666.666666666664,48.0,0.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,20833.333333333332,20833.333333333332,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-104.16.249.249-10327-443-6,104.16.249.249,443,192.168.41.4,10327,6,20/08/2024 04:34:10 下午,62,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32258.06451612903,62.0,0.0,62.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16129.032258064515,16129.032258064515,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,9,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11289-28222-6,219.76.130.110,28222,192.168.41.4,11289,6,20/08/2024 04:34:10 下午,1893856,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.056046499839481,1893856.0,0.0,1893856.0,1893856.0,0,0,0,0,0,1893856.0,1893856.0,0.0,1893856.0,1893856.0,0,0,0,0,0,40,0.0,1.056046499839481,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11288-28222-6,219.76.130.110,28222,192.168.41.4,11288,6,20/08/2024 04:34:10 下午,2233459,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8954720010530751,2233459.0,0.0,2233459.0,2233459.0,0,0,0,0,0,2233459.0,2233459.0,0.0,2233459.0,2233459.0,0,0,0,0,0,52,0.0,0.8954720010530751,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11288-28222-6,219.76.130.110,28222,192.168.41.4,11288,6,20/08/2024 04:34:12 下午,311958,4,2,3176.0,1400.0,1400.0,0.0,794.0,716.3872323448169,1400.0,0.0,700.0,989.9494936611666,14668.6412914559,19.23335833669917,62391.6,139468.25881468513,311880.0,0.0,311952.0,103984.0,180105.57117424213,311952.0,0.0,78.0,78.0,0.0,78.0,78.0,0,0,0,0,80,40,12.82223889113278,6.41111944556639,0.0,1400.0,853.7142857142858,692.7697342998645,479929.9047619048,0,0,0,0,1,0,0,0,0.0,996.0,794.0,700.0,0,0,0,0,0,0,4,3176,2,1400,-1,0,3,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11298-28222-6,192.168.41.4,11298,219.76.130.110,28222,6,20/08/2024 04:34:12 下午,390821,1,7,0.0,5976.0,0.0,0.0,0.0,0.0,1400.0,0.0,853.7142857142858,692.7697342998645,15290.88764421564,20.469729108722408,55831.57142857143,96919.93525045495,229731.0,3.0,0,0,0,0,0,390821.0,65136.833333333336,102688.04782527842,229731.0,3.0,0,0,0,0,20,140,2.558716138590301,17.91101297013211,0.0,1400.0,664.0,708.2824295434696,501664.0,1,0,0,0,1,0,0,0,7.0,747.0,0.0,853.7142857142857,0,0,0,0,0,0,1,0,7,5976,-1,1002,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11277-28222-6,192.168.41.4,11277,219.76.130.110,28222,6,20/08/2024 04:34:12 下午,2511654,1,8,0.0,5976.0,0.0,0.0,0.0,0.0,1400.0,0.0,747.0,708.8525939855197,2379.3086149605,3.583296106868223,313956.75,714065.4799597963,2032501.0,0.0,0,0,0,0,0,2511654.0,358807.71428571426,759009.9351588916,2032501.0,0.0,0,0,0,0,20,160,0.39814401187424703,3.1851520949939762,0.0,1400.0,597.6,700.009396762326,490013.1555555556,1,0,0,0,1,0,0,0,8.0,664.0,0.0,747.0,0,0,0,0,0,0,1,0,8,5976,-1,1002,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11289-28222-6,219.76.130.110,28222,192.168.41.4,11289,6,20/08/2024 04:34:12 下午,3361020,6,1,5976.0,0.0,1400.0,0.0,996.0,637.0682851939814,0.0,0.0,0.0,0.0,1778.031668957638,2.0827010847897367,560170.0,1372129.6894190433,3361018.0,0.0,2.0,0.4,0.5477225575051661,1.0,0.0,0,0,0,0,0,0,0,0,0,120,20,1.7851723583912027,0.2975287263985338,0.0,1400.0,747.0,708.8525939855197,502472.0,0,0,0,0,1,0,0,0,0.0,853.7142857142857,996.0,0.0,0,0,0,0,0,0,6,5976,1,0,-1,1002,5,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11295-28222-6,219.76.130.110,28222,192.168.41.4,11295,6,20/08/2024 04:34:10 下午,6503806,12,11,8822.0,4809.0,1400.0,0.0,735.1666666666666,672.2853605877538,1400.0,0.0,437.18181818181824,615.6214450751074,2095.849722454821,3.5363908456064035,295627.54545454535,526810.5811396881,1948655.0,0.0,4554712.0,414064.7272727273,613645.2597416672,1971583.0,0.0,6503806.0,650380.6,810954.9985868102,1948719.0,27.0,0,0,0,0,264,220,1.8450734846642105,1.691317360942193,0.0,1400.0,567.9583333333333,646.3189735569506,417728.21557971014,0,0,0,0,1,0,0,0,0.0,592.6521739130435,735.1666666666666,437.1818181818182,0,0,0,0,0,0,12,8822,11,4809,-1,514,8,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-11309-28222-6,192.168.41.4,11309,219.76.130.110,28222,6,20/08/2024 04:34:12 下午,4897464,3,3,517.0,0.0,517.0,0.0,172.33333333333331,298.4900891710365,0.0,0.0,0.0,0.0,105.56483927191705,1.2251238600222483,979492.8,1453427.1797767167,3481259.0,72.0,3939095.0,1969547.5,2784930.865315062,3938791.0,304.0,1416205.0,708102.5,353828.4551311553,958297.0,457908.0,0,0,0,0,60,84,0.6125619300111241,0.6125619300111241,0.0,517.0,73.85714285714286,195.4076325457705,38184.14285714286,0,1,0,0,0,0,0,0,1.0,86.16666666666667,172.33333333333334,0.0,0,0,0,0,0,0,3,517,3,0,-1,1002,1,0,0,0,0,0,0,0,0,0,No Label
