Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.41.4-219.76.130.110-13057-28222-6,192.168.41.4,13057,219.76.130.110,28222,6,20/08/2024 04:48:22 下午,14347957,3,5,24.0,146.0,24.0,0.0,8.0,13.856406460551018,68.0,0.0,29.2,30.605555051330143,11.84837674102313,0.5575706701657943,2049708.1428571427,5307871.401208631,1.4084838E7,0.0,3353.0,1676.5,1912.7238431096112,3029.0,324.0,1.4347719E7,3586929.75,6999663.305250921,1.4084838E7,0.0,0,0,0,0,60,112,0.2090890013121729,0.3484816688536215,0.0,68.0,19.0,25.83118270617898,667.25,0,0,0,0,1,0,0,0,1.0,21.375,8.0,29.2,0,0,0,0,0,0,3,24,5,146,-1,1002,1,0,259707.0,0.0,259707.0,259707.0,1.4084838E7,0.0,1.4084838E7,1.4084838E7,No Label
192.168.41.4-219.76.130.110-13057-28222-6,219.76.130.110,28222,192.168.41.4,13057,6,20/08/2024 04:48:36 下午,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1002,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-219.76.130.110-13057-28222-6,219.76.130.110,28222,192.168.41.4,13057,6,20/08/2024 04:48:36 下午,958294,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0870421812095246,958294.0,0.0,958294.0,958294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.0435210906047623,1.0435210906047623,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1002,0,0,0,0,0,0,0,0,0,0,No Label
175.24.154.66-192.168.41.4-443-13123-6,192.168.41.4,13123,175.24.154.66,443,6,20/08/2024 04:48:13 下午,2000274,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998630187664289,2000274.0,0.0,2000274.0,2000274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.49993150938321446,0.49993150938321446,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-59.110.251.11-12833-443-6,192.168.41.4,12833,59.110.251.11,443,6,20/08/2024 04:48:23 下午,15064704,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.13276065696345576,0.26552131392691153,5021568.0,8644130.537347293,1.5002948E7,25158.0,0,0,0,0,0,1.5064704E7,7532352.0,1.0600596967012377E7,1.5028106E7,36598.0,0,0,0,0,20,84,0.06638032848172788,0.19914098544518363,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,9800,1,0,36598.0,0.0,36598.0,36598.0,1.5002948E7,0.0,1.5002948E7,1.5002948E7,No Label
182.92.29.13-192.168.41.4-443-12871-6,192.168.41.4,12871,182.92.29.13,443,6,20/08/2024 04:48:22 下午,15074885,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.1326709955001315,0.265341991000263,5024961.666666666,8643490.672861997,1.5005605E7,34602.0,0,0,0,0,0,1.5074885E7,7537442.5,1.0610511311191393E7,1.5040207E7,34678.0,0,0,0,0,20,84,0.06633549775006575,0.19900649325019726,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,9800,1,0,34678.0,0.0,34678.0,34678.0,1.5005605E7,0.0,1.5005605E7,1.5005605E7,No Label
152.69.172.80-192.168.41.4-2052-57202-17,192.168.41.4,57202,152.69.172.80,2052,17,20/08/2024 04:48:21 下午,11588434,5,6,258.0,141.0,92.0,25.0,51.6,36.42526595647587,27.0,21.0,23.5,2.810693864511039,34.43088168772416,0.949222302167834,1158843.4,3112241.7008578735,1.0003396E7,0.0,1.0454881E7,2613720.25,4928499.476764395,1.0003396E7,25.0,1.1588434E7,2317686.8,4470200.251053324,1.0307068E7,0.0,0,0,0,0,40,48,0.4314646828035609,0.517757619364273,21.0,92.0,35.333333333333336,26.313955278981577,692.4242424242425,0,0,0,0,0,0,0,0,1.0,38.54545454545455,51.6,23.5,0,0,0,0,0,0,5,258,6,141,-1,-1,5,0,790853.0,0.0,790853.0,790853.0,1.0003396E7,0.0,1.0003396E7,1.0003396E7,No Label
140.205.135.3-192.168.41.4-443-12849-6,192.168.41.4,12849,140.205.135.3,443,6,20/08/2024 04:48:23 下午,15042051,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.13296059161081158,0.26592118322162317,5014017.0,8657577.201199017,1.5010926E7,14652.0,0,0,0,0,0,1.5042051E7,7521025.5,1.0613039925040916E7,1.5025578E7,16473.0,0,0,0,0,20,84,0.06648029580540579,0.19944088741621738,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,9800,1,0,16473.0,0.0,16473.0,16473.0,1.5010926E7,0.0,1.5010926E7,1.5010926E7,No Label
192.168.41.4-223.5.5.5-10041-443-6,192.168.41.4,10041,223.5.5.5,443,6,20/08/2024 04:48:17 下午,15022212,3,5,1.0,263.0,1.0,0.0,0.33333333333333337,0.5773502691896257,167.0,0.0,52.6,68.83167875331823,17.573976455664454,0.532544741080741,2146030.285714286,5670338.08433494,1.5005146E7,1.0,1.5007473E7,7503736.5,1.0608595051814377E7,1.5005146E7,2327.0,1.5022212E7,3755553.0,7501314.946481627,1.5007524E7,1.0,0,1,0,0,60,112,0.19970427790527787,0.3328404631754631,0.0,167.0,33.333333333333336,54.86574523325096,3010.2500000000005,0,0,0,1,1,0,0,0,1.0,37.5,0.3333333333333333,52.6,0,0,0,0,0,0,3,1,5,263,-1,24,1,0,9256.0,0.0,9256.0,9256.0,1.5005146E7,0.0,1.5005146E7,1.5005146E7,No Label
192.168.41.4-59.110.251.12-12813-443-6,192.168.41.4,12813,59.110.251.12,443,6,20/08/2024 04:48:23 下午,15076071,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.1326605585765681,0.2653211171531362,5025357.0,8643188.142645225,1.5005651E7,35054.0,0,0,0,0,0,1.5076071E7,7538035.5,1.0610818195534429E7,1.5041017E7,35054.0,0,0,0,0,20,84,0.06633027928828406,0.1989908378648522,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,9800,1,0,35054.0,0.0,35054.0,35054.0,1.5005651E7,0.0,1.5005651E7,1.5005651E7,No Label
