Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.41.4-8.8.4.4-10421-853-6,192.168.41.4,10421,8.8.4.4,853,6,20/08/2024 04:30:00 下午,862042,7,8,402.0,4750.0,243.0,0.0,57.42857142857143,87.2503240545217,1400.0,0.0,593.75,681.8206194761619,5976.506945137244,17.400544289025362,61574.42857142857,120658.83479318184,305161.0,0.0,615885.0,102647.5,157544.49428748692,306716.0,55.0,861797.0,123113.85714285713,151998.85759157158,307345.0,0.0,0,0,0,0,140,184,8.120254001545169,9.280290287480193,0.0,1400.0,322.0,546.765397588399,298952.4,0,1,0,0,0,0,0,0,1.0,343.46666666666664,57.42857142857143,593.75,0,0,0,0,0,0,7,402,8,4750,-1,261,4,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-1.0.0.1-10422-853-6,192.168.41.4,10422,1.0.0.1,853,6,20/08/2024 04:30:00 下午,1416073,9,6,402.0,3225.0,243.0,0.0,44.66666666666667,79.69159303213858,1400.0,0.0,537.5,688.0679472261443,2561.30863310013,10.59267424772593,101148.07142857143,230129.2274956915,758055.0,0.0,657940.0,82242.5,170285.9472584696,472832.0,30.0,1231198.0,246239.6,351902.00548917026,758055.0,0.0,0,0,0,0,204,144,6.355604548635558,4.237069699090372,0.0,1400.0,226.68749999999997,472.38342036245655,223146.09583333333,0,1,0,0,0,0,0,0,0.0,241.8,44.666666666666664,537.5,0,0,0,0,0,0,9,402,6,3225,-1,9,4,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-1.0.0.1-10422-853-6,1.0.0.1,853,192.168.41.4,10422,6,20/08/2024 04:30:01 下午,238768,2,2,99.0,0.0,99.0,0.0,49.5,70.0035713374682,0.0,0.0,0.0,0.0,414.6284259197212,16.75266367352409,79589.33333333333,137773.0952593188,238676.0,34.0,238710.0,238710.0,0.0,238710.0,238710.0,92.0,92.0,0.0,92.0,92.0,0,0,0,0,40,40,8.376331836762045,8.376331836762045,0.0,99.0,19.8,44.274145954495836,1960.2,0,0,0,0,1,0,0,0,1.0,24.75,49.5,0.0,0,0,0,0,0,0,2,99,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-8.8.4.4-10452-853-6,192.168.41.4,10452,8.8.4.4,853,6,20/08/2024 04:30:04 下午,1192108,5,5,243.0,4200.0,243.0,0.0,48.6,108.67290370648978,1400.0,0.0,840.0,766.8115805072325,3727.01131105571,8.388501712932051,132456.44444444444,206062.155040725,575271.0,4.0,944187.0,236046.75,266724.3371327721,575271.0,193.0,570413.0,142603.25,166645.6102539658,321263.0,4.0,0,0,0,0,100,124,4.1942508564660255,4.1942508564660255,0.0,1400.0,403.90909090909093,643.7764292897737,414448.0909090909,0,1,0,0,0,0,0,0,1.0,444.3,48.6,840.0,0,0,0,0,0,0,5,243,5,4200,-1,261,1,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-1.0.0.1-10453-853-6,192.168.41.4,10453,1.0.0.1,853,6,20/08/2024 04:30:04 下午,1191677,7,6,392.0,3226.0,243.0,0.0,56.0,87.07276650403767,1400.0,0.0,537.6666666666666,688.0353673080089,3036.0575894306926,10.908996313598399,99306.41666666667,187367.6593562208,480143.0,0.0,728598.0,121433.0,201808.21287747435,482199.0,34.0,945733.0,189146.59999999998,258157.04585348818,480706.0,0.0,0,0,0,0,140,144,5.874074938091446,5.034921375506953,0.0,1400.0,258.42857142857144,498.7618075387696,248763.34065934064,0,1,0,0,0,0,0,0,0.0,278.3076923076923,56.0,537.6666666666666,0,0,0,0,0,0,7,392,6,3226,-1,9,4,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-51.105.71.137-10445-443-6,192.168.41.4,10445,51.105.71.137,443,6,20/08/2024 04:30:04 下午,1254805,13,15,4422.0,4678.0,1400.0,0.0,340.15384615384613,512.4156591013858,1400.0,0.0,311.8666666666666,567.7237591176422,7252.122839803795,22.314224122473213,46474.25925925927,93002.67885744457,243596.0,0.0,1018709.0,84892.41666666667,124666.07500873417,286329.0,1.0,1250508.0,89322.0,123308.18964754064,288927.0,0.0,0,0,0,0,260,336,10.360175485433992,11.954048637039222,0.0,1400.0,313.7931034482759,526.8076620626183,277526.31280788186,0,1,0,0,0,0,0,0,1.0,325.0,340.15384615384613,311.8666666666667,0,0,0,0,0,0,13,4422,15,4678,-1,16384,8,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-51.105.71.137-10445-443-6,51.105.71.137,443,192.168.41.4,10445,6,20/08/2024 04:30:06 下午,0,1,1,0.0,42.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,0,0,1,1,0,0,0,1.0,42.0,0.0,42.0,0,0,0,0,0,0,1,0,1,42,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-1.0.0.1-10453-853-6,1.0.0.1,853,192.168.41.4,10453,6,20/08/2024 04:30:06 下午,236345,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.462205673908905,236345.0,0.0,236345.0,236345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.231102836954452,4.231102836954452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,9,0,0,0,0,0,0,0,0,0,0,No Label
180.76.76.76-192.168.41.4-53-51548-17,192.168.41.4,51548,180.76.76.76,53,17,20/08/2024 04:30:04 下午,29989,0,2,0.0,110.0,0,0,0,0,63.0,47.0,55.0,11.313708498984761,3668.011604254894,66.6911200773617,29989.0,0.0,29989.0,29989.0,0,0,0,0,0,29989.0,29989.0,0.0,29989.0,29989.0,0,0,0,0,0,16,0.0,66.6911200773617,47.0,63.0,52.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,78.5,0.0,55.0,0,0,0,0,0,0,0,0,2,110,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
175.24.154.66-192.168.41.4-443-10439-6,192.168.41.4,10439,175.24.154.66,443,6,20/08/2024 04:30:04 下午,1012273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9757516006057654,1012273.0,0.0,1012273.0,1012273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.9878758003028827,0.9878758003028827,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
