Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.41.4-8.8.4.4-3556-853-6,192.168.41.4,3556,8.8.4.4,853,6,20/08/2024 08:18:16 下午,729070,9,9,402.0,4750.0,243.0,0.0,44.66666666666667,79.69159303213858,1400.0,0.0,527.7777777777778,667.7877240893579,7066.536820881397,24.688987340035936,42886.470588235294,73103.36398562453,197992.0,1.0,566394.0,70799.25,97850.18792120068,200474.0,30.0,728891.0,91111.375,85230.64956916698,198069.0,1.0,0,0,0,0,204,204,12.344493670017968,12.344493670017968,0.0,1400.0,271.15789473684214,513.4969720951402,263679.14035087725,0,1,0,0,0,0,0,0,1.0,286.22222222222223,44.666666666666664,527.7777777777778,0,0,0,0,0,0,9,402,9,4750,-1,261,4,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-8.8.4.4-3556-853-6,8.8.4.4,853,192.168.41.4,3556,6,20/08/2024 08:18:17 下午,46,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65217.391304347824,23.0,31.11269837220809,45.0,1.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,40,32,43478.260869565216,21739.130434782608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-1.0.0.1-3557-853-6,192.168.41.4,3557,1.0.0.1,853,6,20/08/2024 08:18:16 下午,1408659,7,7,402.0,3225.0,243.0,0.0,57.42857142857143,87.2503240545217,1400.0,0.0,460.7142857142857,660.154202765211,2574.7892144230786,9.938530190770086,108358.38461538462,190608.68015978814,613562.0,0.0,1179984.0,196664.0,364494.0574522443,906717.0,29.0,794957.0,132492.8333333333,146488.15149958944,293700.0,0.0,0,0,0,0,140,164,4.969265095385043,4.969265095385043,0.0,1400.0,241.79999999999998,484.94317782012945,235169.88571428572,0,1,0,0,0,0,0,0,1.0,259.07142857142856,57.42857142857143,460.7142857142857,0,0,0,0,0,0,7,402,7,3225,-1,9,4,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-1.0.0.1-3557-853-6,1.0.0.1,853,192.168.41.4,3557,6,20/08/2024 08:18:17 下午,208606,1,2,0.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,49.5,70.0035713374682,474.57887117340823,14.381177914345704,104303.0,147421.86438245856,208546.0,60.0,0,0,0,0,0,60.0,60.0,0.0,60.0,60.0,0,1,0,0,20,40,4.793725971448568,9.587451942897136,0.0,99.0,49.5,57.15767664977295,3267.0,0,0,0,1,1,0,0,0,2.0,66.0,0.0,49.5,0,0,0,0,0,0,1,0,2,99,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-20.198.2.181-3036-443-6,192.168.41.4,3036,20.198.2.181,443,6,20/08/2024 08:18:11 下午,19998325,2,3,1.0,1.0,1.0,0.0,0.5,0.7071067811865476,1.0,0.0,0.33333333333333337,0.5773502691896257,0.100008375701465,0.2500209392536625,4999581.25,6999629.059909979,1.5010833E7,159127.0,4804978.0,4804978.0,0.0,4804978.0,4804978.0,1.5352474E7,7676237.0,1.0597724699267197E7,1.516996E7,182514.0,0,0,0,0,40,84,0.100008375701465,0.1500125635521975,0.0,1.0,0.5,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,1.0,0.6,0.5,0.3333333333333333,0,0,0,0,0,0,2,1,3,1,-1,16384,1,0,182514.0,0.0,182514.0,182514.0,1.5010833E7,0.0,1.5010833E7,1.5010833E7,No Label
192.168.41.4-20.198.162.76-1024-443-6,192.168.41.4,1024,20.198.162.76,443,6,20/08/2024 08:18:24 下午,153478,1,2,0.0,272.0,0.0,0.0,0.0,0.0,171.0,101.0,136.0,49.49747468305833,1772.2409726475455,19.546775433612634,76739.0,44311.553549836186,108072.0,45406.0,0,0,0,0,0,108072.0,108072.0,0.0,108072.0,108072.0,0,1,0,0,20,40,6.515591811204212,13.031183622408424,0.0,171.0,93.25,70.38169743145822,4953.583333333333,0,0,0,1,1,0,0,0,2.0,124.33333333333333,0.0,136.0,0,0,0,0,0,0,1,0,2,272,-1,7485,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-1.12.12.12-2910-443-6,192.168.41.4,2910,1.12.12.12,443,6,20/08/2024 08:18:12 下午,5901538,3,5,43.0,661.0,43.0,0.0,14.333333333333332,24.826061575153908,569.0,0.0,132.2,245.2594544558884,119.29093737937465,1.3555788338565302,843076.857142857,2004702.779042688,5378541.0,2.0,5839666.0,2919833.0,3477138.1995152277,5378541.0,461125.0,5849266.0,1462316.5,2661947.36305654,5445844.0,2.0,0,1,0,0,60,100,0.5083420626961989,0.8472367711603314,0.0,569.0,83.33333333333333,183.52724593367603,33682.25,0,0,0,1,1,0,0,0,1.0,93.75,14.333333333333334,132.2,0,0,0,0,0,0,3,43,5,661,-1,501,1,0,61872.0,0.0,61872.0,61872.0,5378541.0,0.0,5378541.0,5378541.0,No Label
192.168.41.4-103.173.154.84-53718-2052-17,192.168.41.4,53718,103.173.154.84,2052,17,20/08/2024 08:18:08 下午,21225519,14,3,3154.0,102.0,1435.0,25.0,225.28571428571425,509.12707021565217,39.0,25.0,34.0,7.810249675906654,153.40025372288895,0.8009227006416192,1326594.9375000002,2621723.3136726557,1.0015338E7,48.0,2.1225471E7,1632728.5384615385,2926214.6685266905,1.0322289E7,49.0,3032973.0,1516486.5,1709363.4683742658,2725189.0,307784.0,0,0,0,0,112,24,0.6595834005283923,0.14133930011322693,25.0,1435.0,182.27777777777777,452.8632835578208,205085.15359477123,0,0,0,0,0,0,0,0,0.0,193.0,225.28571428571428,34.0,0,0,0,0,0,0,14,3154,3,102,-1,-1,14,0,3032973.0,0.0,3032973.0,3032973.0,1.0015338E7,0.0,1.0015338E7,1.0015338E7,No Label
192.168.41.4-114.114.115.115-59825-53-17,192.168.41.4,59825,114.114.115.115,53,17,20/08/2024 08:18:16 下午,8556,0,2,0.0,151.0,0,0,0,0,104.0,47.0,75.5,40.30508652763321,17648.433847592336,233.7540906965872,8556.0,0.0,8556.0,8556.0,0,0,0,0,0,8556.0,8556.0,0.0,8556.0,8556.0,0,0,0,0,0,16,0.0,233.7540906965872,47.0,104.0,66.0,32.90896534380867,1083.0,0,0,0,0,0,0,0,0,0.0,99.0,0.0,75.5,0,0,0,0,0,0,0,0,2,151,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.41.4-20.198.2.181-3036-443-6,20.198.2.181,443,192.168.41.4,3036,6,20/08/2024 08:18:31 下午,29,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,68965.5172413793,29.0,0.0,29.0,29.0,0,0,0,0,0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,40,0.0,68965.5172413793,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
